"filename", "language", "HTML", "JSON", "JavaScript", "Markdown", "JavaScript JSX", "PostCSS", "Ignore", "comment", "blank", "total"
"c:\PADHAI\webwiz hackathon\backend\src\validators\document.validator.js", "JavaScript", 0, 0, -23, 0, 0, 0, 0, -4, -4, -31
"c:\PADHAI\webwiz hackathon\backend\src\validators\module.validator.js", "JavaScript", 0, 0, -27, 0, 0, 0, 0, 0, -5, -32
"c:\PADHAI\webwiz hackathon\backend\src\validators\question.validator.js", "JavaScript", 0, 0, -39, 0, 0, 0, 0, 0, -8, -47
"c:\PADHAI\webwiz hackathon\frontend\README.md", "Markdown", 0, 0, 0, 33, 0, 0, 0, 0, 11, 44
"c:\PADHAI\webwiz hackathon\frontend\eslint.config.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 2, 22
"c:\PADHAI\webwiz hackathon\frontend\index.html", "HTML", 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\PADHAI\webwiz hackathon\frontend\package-lock.json", "JSON", 0, 3101, 0, 0, 0, 0, 0, 0, 1, 3102
"c:\PADHAI\webwiz hackathon\frontend\package.json", "JSON", 0, 29, 0, 0, 0, 0, 0, 0, 1, 30
"c:\PADHAI\webwiz hackathon\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 135, 0, 0, 11, 31, 177
"c:\PADHAI\webwiz hackathon\frontend\src\api\client.js", "JavaScript", 0, 0, 103, 0, 0, 0, 0, 16, 36, 155
"c:\PADHAI\webwiz hackathon\frontend\src\components\Sidebar.jsx", "JavaScript JSX", 0, 0, 0, 0, 36, 0, 0, 0, 7, 43
"c:\PADHAI\webwiz hackathon\frontend\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"c:\PADHAI\webwiz hackathon\frontend\src\layouts\RoleLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 58, 0, 0, 5, 7, 70
"c:\PADHAI\webwiz hackathon\frontend\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\PADHAI\webwiz hackathon\frontend\src\pages\JoinCourse.jsx", "JavaScript JSX", 0, 0, 0, 0, 85, 0, 0, 7, 14, 106
"c:\PADHAI\webwiz hackathon\frontend\src\pages\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 106, 0, 0, 1, 14, 121
"c:\PADHAI\webwiz hackathon\frontend\src\pages\Signup.jsx", "JavaScript JSX", 0, 0, 0, 0, 164, 0, 0, 1, 14, 179
"c:\PADHAI\webwiz hackathon\frontend\src\pages\admin\Courses.jsx", "JavaScript JSX", 0, 0, 0, 0, 201, 0, 0, 4, 30, 235
"c:\PADHAI\webwiz hackathon\frontend\src\pages\admin\Modules.jsx", "JavaScript JSX", 0, 0, 0, 0, 240, 0, 0, 3, 32, 275
"c:\PADHAI\webwiz hackathon\frontend\src\pages\admin\Upload.jsx", "JavaScript JSX", 0, 0, 0, 0, 271, 0, 0, 3, 40, 314
"c:\PADHAI\webwiz hackathon\frontend\src\pages\student\Ask.jsx", "JavaScript JSX", 0, 0, 0, 0, 183, 0, 0, 9, 27, 219
"c:\PADHAI\webwiz hackathon\frontend\src\pages\student\Courses.jsx", "JavaScript JSX", 0, 0, 0, 0, 80, 0, 0, 1, 17, 98
"c:\PADHAI\webwiz hackathon\frontend\src\pages\student\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 89, 0, 0, 1, 15, 105
"c:\PADHAI\webwiz hackathon\frontend\src\pages\student\History.jsx", "JavaScript JSX", 0, 0, 0, 0, 243, 0, 0, 9, 33, 285
"c:\PADHAI\webwiz hackathon\frontend\src\pages\student\Modules.jsx", "JavaScript JSX", 0, 0, 0, 0, 171, 0, 0, 3, 25, 199
"c:\PADHAI\webwiz hackathon\frontend\src\pages\ta\ReviewQueue.jsx", "JavaScript JSX", 0, 0, 0, 0, 431, 0, 0, 21, 56, 508
"c:\PADHAI\webwiz hackathon\frontend\src\utils\roleLinks.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 0, 4, 30
"c:\PADHAI\webwiz hackathon\frontend\vite.config.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"Total", "-", 12, 788, -2225, 33, 2502, 16, -2, -98, -53, 973
